DataStructure,SampleSize,EnqueueTime,PtTime,DequeueTime
OrderedArrayRQ,15000,0.255316481,3.062796027,0.233291462
OrderedArrayRQ,20000,0.47240138,3.266596666,0.382402485
OrderedArrayRQ,20000,0.48145536,3.319528056,0.385676365
OrderedArrayRQ,20000,0.469025944,3.35230881,0.451566708
OrderedArrayRQ,20000,0.471883286,3.303442668,0.376907896
OrderedArrayRQ,20000,0.500857608,3.297863581,0.387044469
OrderedArrayRQ,20000,0.467972657,3.298556647,0.38040898
OrderedArrayRQ,20000,0.464142915,3.334670607,0.38584044
OrderedArrayRQ,20000,0.461810515,3.35642124,0.380484888
OrderedArrayRQ,20000,0.467264811,3.274703243,0.379040745
OrderedArrayRQ,20000,0.467330918,3.292334807,0.386281496
OrderedArrayRQ,30000,0.963570114,5.698366301,0.799119862
OrderedArrayRQ,30000,0.948631633,5.742981229,0.801371618
OrderedArrayRQ,30000,0.970217458,5.84142602,0.812228692
OrderedArrayRQ,30000,0.95630632,5.813862981,0.821280462
OrderedArrayRQ,30000,0.964918062,5.841859324,0.803559193
OrderedArrayRQ,30000,0.961200018,5.859243335,0.80224521
OrderedArrayRQ,30000,0.962346049,5.720373943,0.933429172
OrderedArrayRQ,30000,0.96713062,5.730784778,0.800208843
OrderedArrayRQ,30000,1.029829658,5.88943896,0.804033495
OrderedArrayRQ,30000,0.966541619,5.724005944,0.816240009
OrderedArrayRQ,50000,2.49783774,18.614080077,2.143312383
OrderedArrayRQ,50000,2.513233792,18.661380255,2.136481239
OrderedArrayRQ,50000,2.509134165,18.156836122,2.128875189
OrderedArrayRQ,50000,2.478583349,18.063605677,2.104057599
OrderedArrayRQ,50000,2.51836303,19.408521822,2.173178128
OrderedArrayRQ,50000,2.505531756,18.452810504,2.105872193
OrderedArrayRQ,50000,2.49733441,18.170799805,2.165077182
OrderedArrayRQ,50000,2.547974965,18.986430806,2.143924687
OrderedArrayRQ,50000,2.530522375,19.650973942,2.163246398
OrderedArrayRQ,50000,2.534483327,19.17407144,2.504355589
OrderedLinkedListRQ,100,0.00719934,0.004633662,0.002136535
OrderedLinkedListRQ,100,0.002701274,0.004781821,0.002076438
OrderedLinkedListRQ,100,0.002712227,0.004670164,0.002066632
OrderedLinkedListRQ,100,0.002469625,0.004078992,0.002046321
OrderedLinkedListRQ,100,0.002772116,0.00460038,0.002177525
OrderedLinkedListRQ,100,0.002914115,0.004975817,0.002132782
OrderedLinkedListRQ,100,0.002879391,0.004498453,0.001856247
OrderedLinkedListRQ,100,0.003290371,0.004875083,0.002986154
OrderedLinkedListRQ,100,0.002738602,0.004775148,0.002050767
OrderedLinkedListRQ,100,0.002642484,0.004506538,0.002374126
OrderedLinkedListRQ,200,0.004529747,0.008759884,0.002517827
OrderedLinkedListRQ,200,0.004513306,0.008999208,0.002341011
OrderedLinkedListRQ,200,0.004852544,0.008778688,0.002282747
OrderedLinkedListRQ,200,0.005436075,0.010564628,0.001988958
OrderedLinkedListRQ,200,0.00465696,0.008897798,0.002387925
OrderedLinkedListRQ,200,0.004856362,0.009112176,0.002226727
OrderedLinkedListRQ,200,0.00450679,0.008979326,0.002411131
OrderedLinkedListRQ,200,0.004458904,0.009052885,0.00263657
OrderedLinkedListRQ,200,0.004504834,0.00894139,0.002564834
OrderedLinkedListRQ,200,0.005028287,0.008529369,0.002470182
OrderedLinkedListRQ,500,0.007563498,0.017914714,0.002913733
OrderedLinkedListRQ,500,0.007689194,0.018100149,0.002935063
OrderedLinkedListRQ,500,0.007834268,0.018390598,0.00309193
OrderedLinkedListRQ,500,0.007606131,0.018923688,0.002942099
OrderedLinkedListRQ,500,0.00796052,0.018051811,0.002970495
OrderedLinkedListRQ,500,0.009926415,0.021508134,0.003094636
OrderedLinkedListRQ,500,0.007846912,0.018494232,0.00294407
OrderedLinkedListRQ,500,0.007906938,0.018680093,0.003024341
OrderedLinkedListRQ,500,0.007569297,0.018275768,0.002918001
OrderedLinkedListRQ,500,0.008032318,0.018435794,0.002997416
OrderedLinkedListRQ,1000,0.012027953,0.035601406,0.004597873
OrderedLinkedListRQ,1000,0.011782896,0.035125268,0.004402379
OrderedLinkedListRQ,1000,0.011797712,0.03501838,0.004633701
OrderedLinkedListRQ,1000,0.011955009,0.034958579,0.004456853
OrderedLinkedListRQ,1000,0.011495386,0.035196973,0.004572581
OrderedLinkedListRQ,1000,0.012278301,0.034889292,0.004549466
OrderedLinkedListRQ,1000,0.011889181,0.034516752,0.004439705
OrderedLinkedListRQ,1000,0.012288079,0.034715831,0.004511101
OrderedLinkedListRQ,1000,0.011844665,0.034245237,0.004486097
OrderedLinkedListRQ,1000,0.011935709,0.035234053,0.00487902
OrderedLinkedListRQ,2000,0.020255693,0.075790476,0.0078029
OrderedLinkedListRQ,2000,0.019683246,0.075570719,0.008204327
OrderedLinkedListRQ,2000,0.019148712,0.074943642,0.008065594
OrderedLinkedListRQ,2000,0.019259573,0.07637088,0.008270448
OrderedLinkedListRQ,2000,0.019874559,0.077037341,0.008269106
OrderedLinkedListRQ,2000,0.019689045,0.074785486,0.008074741
OrderedLinkedListRQ,2000,0.019724403,0.075617958,0.008389811
OrderedLinkedListRQ,2000,0.020913039,0.07620803,0.010017285
OrderedLinkedListRQ,2000,0.019680905,0.076179168,0.008204491
OrderedLinkedListRQ,2000,0.019322484,0.074928977,0.008052759
OrderedLinkedListRQ,5000,0.0674508,0.344681809,0.014532364
OrderedLinkedListRQ,5000,0.066222039,0.334637428,0.01481621
OrderedLinkedListRQ,5000,0.102483268,0.347823159,0.014636209
OrderedLinkedListRQ,5000,0.067473896,0.343970243,0.01382797
OrderedLinkedListRQ,5000,0.067240049,0.333163577,0.01480129
OrderedLinkedListRQ,5000,0.066272976,0.344342719,0.013687266
OrderedLinkedListRQ,5000,0.0683847,0.344650243,0.014815683
OrderedLinkedListRQ,5000,0.068341788,0.345051747,0.014827231
OrderedLinkedListRQ,5000,0.068190832,0.347837538,0.014300674
OrderedLinkedListRQ,5000,0.065876193,0.345251163,0.014314043
OrderedLinkedListRQ,7500,0.162985734,0.753709418,0.02079768
OrderedLinkedListRQ,7500,0.157717894,0.728976071,0.020179036
OrderedLinkedListRQ,7500,0.161353568,0.755283291,0.019611865
OrderedLinkedListRQ,7500,0.163951695,0.755243672,0.019568355
OrderedLinkedListRQ,7500,0.154588631,0.731036984,0.019500761
OrderedLinkedListRQ,7500,0.156606052,0.730896486,0.020032849
OrderedLinkedListRQ,7500,0.161098067,0.75570899,0.019563246
OrderedLinkedListRQ,7500,0.159952742,0.751527856,0.019925655
OrderedLinkedListRQ,7500,0.16338713,0.75991989,0.020299483
OrderedLinkedListRQ,7500,0.162102133,0.756309704,0.019714412
OrderedLinkedListRQ,9000,0.223420492,1.04440697,0.024312525
OrderedLinkedListRQ,9000,0.227204604,1.079221969,0.02470211
OrderedLinkedListRQ,9000,0.231479667,1.058582658,0.022514864
OrderedLinkedListRQ,9000,0.228548967,1.076292887,0.022609972
OrderedLinkedListRQ,9000,0.230273578,1.077858027,0.023482803
OrderedLinkedListRQ,9000,0.226421183,1.077834557,0.023191864
OrderedLinkedListRQ,9000,0.229386358,1.085656078,0.022933442
OrderedLinkedListRQ,9000,0.2238794,1.037569593,0.023354731
OrderedLinkedListRQ,9000,0.232863052,1.075239928,0.023381614
OrderedLinkedListRQ,9000,0.229562015,1.055779849,0.022969992
OrderedLinkedListRQ,10000,0.28354884,1.273993206,0.024911901
OrderedLinkedListRQ,10000,0.294015055,1.325296976,0.026207942
OrderedLinkedListRQ,10000,0.295078804,1.321560341,0.02586909
OrderedLinkedListRQ,10000,0.294215807,1.322746955,0.025489989
OrderedLinkedListRQ,10000,0.295403087,1.278474793,0.024476095
OrderedLinkedListRQ,10000,0.294389227,1.326214482,0.024993079
OrderedLinkedListRQ,10000,0.293862786,1.322263687,0.02481082
OrderedLinkedListRQ,10000,0.294189263,1.321516925,0.026250007
OrderedLinkedListRQ,10000,0.29079605,1.321292974,0.025112909
OrderedLinkedListRQ,10000,0.29023706,1.289948088,0.024442079
OrderedLinkedListRQ,15000,0.693420446,3.046446811,0.039608399
OrderedLinkedListRQ,15000,0.670480608,3.041324625,0.039501747
OrderedLinkedListRQ,15000,0.691800795,3.151937119,0.039578336
OrderedLinkedListRQ,15000,0.670989269,3.073516725,0.039486052
OrderedLinkedListRQ,15000,0.691386995,3.137877303,0.039684449
OrderedLinkedListRQ,15000,0.691525669,3.15008819,0.038085226
OrderedLinkedListRQ,15000,0.666359799,3.034860669,0.039848114
OrderedLinkedListRQ,15000,0.702446687,3.127532236,0.038360749
OrderedLinkedListRQ,15000,0.691433988,3.12949996,0.039295788
OrderedLinkedListRQ,15000,0.693230184,3.141977566,0.039311496
