DataStructure,Operation,Iteration,Block,Time
Array,Dequeue,7,15,0.022100672
Array,Dequeue,8,15,0.022354687
Array,Dequeue,9,15,0.022495631
Array,Dequeue,10,15,0.022327353
Array,Dequeue,1,16,0.023778041
Array,Dequeue,2,16,0.025215889
Array,Dequeue,3,16,0.024256835
Array,Dequeue,4,16,0.023979284
Array,Dequeue,5,16,0.025924079
Array,Dequeue,6,16,0.023915679
Array,Dequeue,7,16,0.023708155
Array,Dequeue,8,16,0.023845771
Array,Dequeue,9,16,0.023763431
Array,Dequeue,10,16,0.023834097
Array,Dequeue,1,17,0.025018911
Array,Dequeue,2,17,0.025180423
Array,Dequeue,3,17,0.02536119
Array,Dequeue,4,17,0.025225418
Array,Dequeue,5,17,0.025599013
Array,Dequeue,6,17,0.025128567
Array,Dequeue,7,17,0.025425055
Array,Dequeue,8,17,0.025229879
Array,Dequeue,9,17,0.026342727
Array,Dequeue,10,17,0.027077489
Array,Dequeue,1,18,0.026985744
Array,Dequeue,2,18,0.026786266
Array,Dequeue,3,18,0.027032578
Array,Dequeue,4,18,0.028465402
Array,Dequeue,5,18,0.026791669
Array,Dequeue,6,18,0.028276715
Array,Dequeue,7,18,0.027160873
Array,Dequeue,8,18,0.027138527
Array,Dequeue,9,18,0.026616835
Array,Dequeue,10,18,0.027026476
Array,Dequeue,1,19,0.028160691
Array,Dequeue,2,19,0.028105223
Array,Dequeue,3,19,0.028478988
Array,Dequeue,4,19,0.028458099
Array,Dequeue,5,19,0.028235723
Array,Dequeue,6,19,0.02837861
Array,Dequeue,7,19,0.028374097
Array,Dequeue,8,19,0.030106276
Array,Dequeue,9,19,0.028725396
Array,Dequeue,10,19,0.028914255
Array,Dequeue,1,20,0.02973352
Array,Dequeue,2,20,0.02960391
Array,Dequeue,3,20,0.03154909
Array,Dequeue,4,20,0.029744093
Array,Dequeue,5,20,0.029950389
Array,Dequeue,6,20,0.029689579
Array,Dequeue,7,20,0.029844832
Array,Dequeue,8,20,0.029971723
Array,Dequeue,9,20,0.030037491
Array,Dequeue,10,20,0.02915417
Array,Dequeue,1,21,0.031451296
Array,Dequeue,2,21,0.03261232
Array,Dequeue,3,21,0.031455613
Array,Dequeue,4,21,0.031436983
Array,Dequeue,5,21,0.031321511
Array,Dequeue,6,21,0.031420992
Array,Dequeue,7,21,0.032985751
Array,Dequeue,8,21,0.031553757
Array,Dequeue,9,21,0.032628807
Array,Dequeue,10,21,0.031603503
Array,Dequeue,1,22,0.034945774
Array,Dequeue,2,22,0.032761317
Array,Dequeue,3,22,0.032926803
Array,Dequeue,4,22,0.03268342
Array,Dequeue,5,22,0.034254937
Array,Dequeue,6,22,0.03284256
Array,Dequeue,7,22,0.032884067
Array,Dequeue,8,22,0.033050189
Array,Dequeue,9,22,0.032901841
Array,Dequeue,10,22,0.034509229
Array,Dequeue,1,23,0.034425719
Array,Dequeue,2,23,0.034162805
Array,Dequeue,3,23,0.034581686
Array,Dequeue,4,23,0.036094546
Array,Dequeue,5,23,0.034410373
Array,Dequeue,6,23,0.035740193
Array,Dequeue,7,23,0.034526963
Array,Dequeue,8,23,0.036223885
Array,Dequeue,9,23,0.034317106
Array,Dequeue,10,23,0.034495457
Array,Dequeue,1,24,0.036037067
Array,Dequeue,2,24,0.03606545
Array,Dequeue,3,24,0.036232512
Array,Dequeue,4,24,0.036107504
Array,Dequeue,5,24,0.036095786
Array,Dequeue,6,24,0.036129282
Array,Dequeue,7,24,0.035925379
Array,Dequeue,8,24,0.036232038
Array,Dequeue,9,24,0.035828703
Array,Dequeue,10,24,0.036404014
Array,Dequeue,1,25,0.037892584
Array,Dequeue,2,25,0.037255061
Array,Dequeue,3,25,0.040022363
Array,Dequeue,4,25,0.037362085
Array,Dequeue,5,25,0.037321289
Array,Dequeue,6,25,0.037699007
Array,Dequeue,7,25,0.037867196
Array,Dequeue,8,25,0.03777466
Array,Dequeue,9,25,0.039106366
Array,Dequeue,10,25,0.037289999
Array,Dequeue,1,26,0.038875986
Array,Dequeue,2,26,0.040227577
Array,Dequeue,3,26,0.038963542
Array,Dequeue,4,26,0.038946672
Array,Dequeue,5,26,0.040278693
Array,Dequeue,6,26,0.039180155
Array,Dequeue,7,26,0.039352128
Array,Dequeue,8,26,0.038993771
Array,Dequeue,9,26,0.038925957
Array,Dequeue,10,26,0.040527523
Array,Dequeue,1,27,0.040732996
Array,Dequeue,2,27,0.040798663
Array,Dequeue,3,27,0.040882077
Array,Dequeue,4,27,0.042133403
Array,Dequeue,5,27,0.04050321
Array,Dequeue,6,27,0.042482748
Array,Dequeue,7,27,0.042260685
Array,Dequeue,8,27,0.042698585
Array,Dequeue,9,27,0.040475826
Array,Dequeue,10,27,0.040750958
Array,Dequeue,1,28,0.043609675
Array,Dequeue,2,28,0.041965143
Array,Dequeue,3,28,0.042031476
Array,Dequeue,4,28,0.041842038
Array,Dequeue,5,28,0.041880586
Array,Dequeue,6,28,0.04197818
Array,Dequeue,7,28,0.041832781
Array,Dequeue,8,28,0.043548177
Array,Dequeue,9,28,0.044042046
Array,Dequeue,10,28,0.042236832
Array,Dequeue,1,29,0.043502574
Array,Dequeue,2,29,0.044704354
Array,Dequeue,3,29,0.045190596
Array,Dequeue,4,29,0.043551706
Array,Dequeue,5,29,0.043387861
Array,Dequeue,6,29,0.04357281
Array,Dequeue,7,29,0.043455393
Array,Dequeue,8,29,0.04408022
Array,Dequeue,9,29,0.043845861
Array,Dequeue,10,29,0.04391345
Array,Dequeue,1,30,0.045162912
Array,Dequeue,2,30,0.044970621
Array,Dequeue,3,30,0.045442132
Array,Dequeue,4,30,0.045108336
Array,Dequeue,5,30,0.046681536
Array,Dequeue,6,30,0.04694081
Array,Dequeue,7,30,0.045123568
Array,Dequeue,8,30,0.048493121
Array,Dequeue,9,30,0.043938707
Array,Dequeue,10,30,0.047004387
Array,Dequeue,1,31,0.046568038
Array,Dequeue,2,31,0.0465537
Array,Dequeue,3,31,0.046775423
Array,Dequeue,4,31,0.048542815
Array,Dequeue,5,31,0.046541031
Array,Dequeue,6,31,0.046786648
Array,Dequeue,7,31,0.046809479
Array,Dequeue,8,31,0.047633891
Array,Dequeue,9,31,0.047387919
Array,Dequeue,10,31,0.046668205
Array,Dequeue,1,32,0.049623764
Array,Dequeue,2,32,0.048363478
Array,Dequeue,3,32,0.048371357
Array,Dequeue,4,32,0.047827688
Array,Dequeue,5,32,0.048244764
Array,Dequeue,6,32,0.04842228
Array,Dequeue,7,32,0.049470464
Array,Dequeue,8,32,0.062727102
Array,Dequeue,9,32,0.047609393
Array,Dequeue,10,32,0.048681977
Array,Dequeue,1,33,0.050085201
